City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Moose Factory,CA,51.2585,-80.6094,26.6,86,0,6.91,clear sky
274,Roald,NO,62.5833,6.1333,40.75,70,75,14.97,broken clouds
275,Tabuk,PH,17.4189,121.4443,76.05,80,99,0.38,overcast clouds
276,Waipawa,NZ,-41.4122,175.5153,63.3,60,4,15.77,clear sky
277,Caravelas,BR,-17.7125,-39.2481,77.85,83,34,6.4,scattered clouds
278,Kendari,ID,-3.945,122.4989,80.62,79,76,4.07,broken clouds
279,Longyearbyen,SJ,78.2186,15.6401,10.24,56,0,23.02,clear sky
280,Tarata,BO,-17.6167,-66.0167,63.82,73,55,7.31,broken clouds
281,Avallon,FR,47.4833,3.9,39.4,65,100,7.63,overcast clouds
282,Sayyan,YE,15.1718,44.3244,56.8,52,2,4.12,clear sky
283,Manzanillo,CU,20.3433,-77.1167,76.84,65,96,18.25,overcast clouds
284,Lasa,IT,46.6166,10.7002,38.28,54,8,2.37,clear sky
285,Kilindoni,TZ,-7.9139,39.6668,82.44,75,27,16.51,light rain
286,Llangefni,GB,53.2556,-4.3106,49.86,57,75,8.05,broken clouds
287,Wakkanai,JP,45.4094,141.6739,40.98,93,75,3.44,light intensity drizzle
288,Kavaratti,IN,10.5669,72.642,83.39,75,96,8.34,overcast clouds
289,Hovd,MN,48.0056,91.6419,27.18,37,21,1.3,few clouds
290,Lazo,RU,43.3817,133.9014,61.61,64,85,2.13,overcast clouds
291,Itupiranga,BR,-5.1347,-49.3267,80.92,95,92,1.99,overcast clouds
292,Eureka,US,40.8021,-124.1637,56.19,71,62,5.01,broken clouds
293,Wenling,CN,28.3669,121.36,67.3,87,87,3.18,overcast clouds
294,Dingle,PH,10.9995,122.6711,72.37,98,100,6.49,light rain
295,Ceyhan,TR,37.0247,35.8175,58.84,88,83,1.68,broken clouds
296,Biltine,TD,14.5333,20.9167,84.0,23,34,5.57,scattered clouds
297,Port Macquarie,AU,-31.4333,152.9167,78.89,67,7,3.76,clear sky
298,Hirara,JP,24.8,125.2833,76.86,88,75,13.8,broken clouds
299,Matadi,CD,-5.8167,13.45,75.16,97,89,2.59,light rain
300,Vadso,NO,70.0744,29.7487,33.96,93,100,27.63,overcast clouds
301,Hofn,IS,64.2539,-15.2082,35.96,68,100,4.29,overcast clouds
302,Bintulu,MY,3.1667,113.0333,77.41,94,20,3.44,few clouds
303,Hede,CN,33.7681,120.2517,69.82,63,0,7.58,clear sky
304,Eenhana,NA,-17.4667,16.3333,71.89,57,80,8.99,broken clouds
305,Springfield,US,37.2153,-93.2982,73.53,53,40,25.32,scattered clouds
306,Valdosta,US,30.8327,-83.2785,69.75,46,0,0.0,clear sky
307,Santa Fe,AR,-31.6333,-60.7,72.01,94,90,3.0,overcast clouds
308,Vechelde,DE,52.2604,10.3649,39.7,77,23,2.3,few clouds
309,Tarrafal,CV,15.2833,-23.7667,70.59,81,24,15.73,few clouds
310,Richards Bay,ZA,-28.783,32.0377,64.99,96,100,8.48,moderate rain
311,Tecoanapa,MX,16.5167,-98.75,83.48,64,54,11.03,broken clouds
312,Lubumbashi,CD,-11.6609,27.4794,59.88,99,70,4.03,broken clouds
313,Nyurba,RU,63.2842,118.3319,15.53,96,97,3.85,overcast clouds
314,Senador Pompeu,BR,-5.5881,-39.3717,75.07,81,71,3.69,broken clouds
315,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,90,0,3.44,clear sky
316,Voh,NC,-20.9667,164.7,82.69,72,90,3.31,overcast clouds
317,Vardo,NO,70.3705,31.1107,34.16,100,100,24.27,snow
318,Farafangana,MG,-22.8167,47.8333,74.21,84,80,8.16,broken clouds
319,Xining,CN,36.6167,101.7667,47.52,25,100,7.11,overcast clouds
320,Caborca,MX,30.5838,-111.101,80.62,19,0,22.77,clear sky
321,Toyooka,JP,35.5333,134.8333,68.05,55,0,8.05,clear sky
322,Bastia,FR,42.6667,9.3333,50.31,67,0,5.01,clear sky
323,Dedougou,BF,12.4667,-3.4667,94.01,26,93,3.06,overcast clouds
324,Qasigiannguit,GL,68.8193,-51.1922,17.85,81,100,3.96,overcast clouds
325,Vila Velha,BR,-20.3297,-40.2925,78.75,83,0,6.91,clear sky
326,Milos,GR,36.75,24.4333,57.99,64,0,27.11,clear sky
327,Duekoue,CI,6.7472,-7.3496,74.46,90,63,2.75,broken clouds
328,Houston,US,29.7633,-95.3633,75.6,73,100,24.16,haze
329,Deqing,CN,30.5448,119.9599,73.85,54,0,3.91,clear sky
330,Tulsipur,NP,28.131,82.2973,70.25,38,0,5.17,clear sky
331,Seminole,US,28.7086,-81.2081,68.38,49,0,8.05,clear sky
332,Jurm,AF,36.8648,70.8342,61.48,32,97,6.38,overcast clouds
333,Ranong,TH,9.9658,98.6348,76.93,88,92,1.88,overcast clouds
334,Mendoza,AR,-32.8908,-68.8272,60.33,77,0,3.44,clear sky
335,Colesberg,ZA,-30.72,25.0972,52.34,80,100,8.86,overcast clouds
336,Rivers,CA,50.0308,-100.2403,45.55,52,77,9.66,broken clouds
337,Bonavista,CA,48.6499,-53.1147,31.44,97,100,12.75,light snow
338,Loikaw,MM,19.6742,97.2094,71.08,54,14,2.44,few clouds
339,Alice Springs,AU,-23.7,133.8833,80.15,24,54,4.61,broken clouds
340,Bilibino,RU,68.0546,166.4372,-3.42,84,100,14.03,overcast clouds
341,Hitoyoshi,JP,32.2167,130.75,60.62,69,98,4.32,overcast clouds
342,Victoria,HK,22.2855,114.1577,75.96,81,6,3.0,clear sky
343,Quebo,GW,11.3333,-14.9333,72.81,77,21,5.28,few clouds
344,Cuiluan,CN,47.72,128.648,42.04,58,100,6.44,overcast clouds
345,Maragogi,BR,-9.0122,-35.2225,78.19,76,13,6.73,few clouds
346,North Myrtle Beach,US,33.816,-78.68,60.12,55,0,0.0,clear sky
